ghostnet_layer,mobilenetv2,mobilenetv3,shufflenetv2,resnet18
blocks.6.1.ghost1.cheap_operation.0,layers.15.layers.0.1,features.bottleneck_10.conv1.1,conv_last.1,
blocks.6.1.ghost1.cheap_operation.1,layers.15.layers.1,features.bottleneck_10.conv1.2,conv_last.2,
blocks.6.1.ghost1.cheap_operation.2,layers.15.layers.1.0,features.bottleneck_10.conv2,global_pool,
blocks.6.1.ghost2,layers.15.layers.1.1,features.bottleneck_10.conv2.0,classifier,
blocks.6.1.ghost2.primary_conv,layers.15.layers.1.2,features.bottleneck_10.conv2.1,classifier.0,
blocks.6.1.ghost2.primary_conv.0,layers.15.layers.2,features.bottleneck_10.conv2.2,,
blocks.6.1.ghost2.primary_conv.1,layers.15.layers.2.0,features.bottleneck_10.se,,
blocks.6.1.ghost2.primary_conv.2,layers.15.layers.2.1,features.bottleneck_10.se.avg_pool,,
blocks.6.1.ghost2.cheap_operation,layers.16,features.bottleneck_10.se.fc,,
blocks.6.1.ghost2.cheap_operation.0,layers.16.layers,features.bottleneck_10.se.fc.0,,
blocks.6.1.ghost2.cheap_operation.1,layers.16.layers.0,features.bottleneck_10.se.fc.1,,
blocks.6.1.ghost2.cheap_operation.2,layers.16.layers.0.0,features.bottleneck_10.se.fc.2,,
blocks.6.1.shortcut,layers.16.layers.0.1,features.bottleneck_10.se.fc.3,,
blocks.6.2,layers.16.layers.1,features.bottleneck_10.conv3,,
blocks.6.2.ghost1,layers.16.layers.1.0,features.bottleneck_10.conv3.0,,
blocks.6.2.ghost1.primary_conv,layers.16.layers.1.1,features.bottleneck_10.conv3.1,,
blocks.6.2.ghost1.primary_conv.0,layers.16.layers.1.2,features.final_conv,,
blocks.6.2.ghost1.primary_conv.1,layers.16.layers.2,features.final_conv.0,,
blocks.6.2.ghost1.primary_conv.2,layers.16.layers.2.0,features.final_conv.1,,
blocks.6.2.ghost1.cheap_operation,layers.16.layers.2.1,features.final_conv.2,,
blocks.6.2.ghost1.cheap_operation.0,last_conv,classifier,,
blocks.6.2.ghost1.cheap_operation.1,last_conv.0,classifier.0,,
blocks.6.2.ghost1.cheap_operation.2,last_conv.1,classifier.1,,
blocks.6.2.ghost2,classifier,classifier.2,,
blocks.6.2.ghost2.primary_conv,classifier.0,classifier.3,,
blocks.6.2.ghost2.primary_conv.0,classifier.1,classifier.4,,
blocks.6.2.ghost2.primary_conv.1,avg_pool,,,
blocks.6.2.ghost2.primary_conv.2,,,,
blocks.6.2.ghost2.cheap_operation,,,,
blocks.6.2.ghost2.cheap_operation.0,,,,
blocks.6.2.ghost2.cheap_operation.1,,,,
blocks.6.2.ghost2.cheap_operation.2,,,,
blocks.6.2.shortcut,,,,
blocks.6.3,,,,
blocks.6.3.ghost1,,,,
blocks.6.3.ghost1.primary_conv,,,,
blocks.6.3.ghost1.primary_conv.0,,,,
blocks.6.3.ghost1.primary_conv.1,,,,
blocks.6.3.ghost1.primary_conv.2,,,,
blocks.6.3.ghost1.cheap_operation,,,,
blocks.6.3.ghost1.cheap_operation.0,,,,
blocks.6.3.ghost1.cheap_operation.1,,,,
blocks.6.3.ghost1.cheap_operation.2,,,,
blocks.6.3.se,,,,
blocks.6.3.se.avg_pool,,,,
blocks.6.3.se.conv_reduce,,,,
blocks.6.3.se.act1,,,,
blocks.6.3.se.conv_expand,,,,
blocks.6.3.ghost2,,,,
blocks.6.3.ghost2.primary_conv,,,,
blocks.6.3.ghost2.primary_conv.0,,,,
blocks.6.3.ghost2.primary_conv.1,,,,
blocks.6.3.ghost2.primary_conv.2,,,,
blocks.6.3.ghost2.cheap_operation,,,,
blocks.6.3.ghost2.cheap_operation.0,,,,
blocks.6.3.ghost2.cheap_operation.1,,,,
blocks.6.3.ghost2.cheap_operation.2,,,,
blocks.6.3.shortcut,,,,
blocks.6.3.shortcut.0,,,,
blocks.6.3.shortcut.1,,,,
blocks.6.3.shortcut.2,,,,
blocks.6.3.shortcut.3,,,,
blocks.6.4,,,,
blocks.6.4.ghost1,,,,
blocks.6.4.ghost1.primary_conv,,,,
blocks.6.4.ghost1.primary_conv.0,,,,
blocks.6.4.ghost1.primary_conv.1,,,,
blocks.6.4.ghost1.primary_conv.2,,,,
blocks.6.4.ghost1.cheap_operation,,,,
blocks.6.4.ghost1.cheap_operation.0,,,,
blocks.6.4.ghost1.cheap_operation.1,,,,
blocks.6.4.ghost1.cheap_operation.2,,,,
blocks.6.4.se,,,,
blocks.6.4.se.avg_pool,,,,
blocks.6.4.se.conv_reduce,,,,
blocks.6.4.se.act1,,,,
blocks.6.4.se.conv_expand,,,,
blocks.6.4.ghost2,,,,
blocks.6.4.ghost2.primary_conv,,,,
blocks.6.4.ghost2.primary_conv.0,,,,
blocks.6.4.ghost2.primary_conv.1,,,,
blocks.6.4.ghost2.primary_conv.2,,,,
blocks.6.4.ghost2.cheap_operation,,,,
blocks.6.4.ghost2.cheap_operation.0,,,,
blocks.6.4.ghost2.cheap_operation.1,,,,
blocks.6.4.ghost2.cheap_operation.2,,,,
blocks.6.4.shortcut,,,,
blocks.7,,,,
blocks.7.0,,,,
blocks.7.0.ghost1,,,,
blocks.7.0.ghost1.primary_conv,,,,
blocks.7.0.ghost1.primary_conv.0,,,,
blocks.7.0.ghost1.primary_conv.1,,,,
blocks.7.0.ghost1.primary_conv.2,,,,
blocks.7.0.ghost1.cheap_operation,,,,
blocks.7.0.ghost1.cheap_operation.0,,,,
blocks.7.0.ghost1.cheap_operation.1,,,,
blocks.7.0.ghost1.cheap_operation.2,,,,
blocks.7.0.conv_dw,,,,
blocks.7.0.bn_dw,,,,
blocks.7.0.se,,,,
blocks.7.0.se.avg_pool,,,,
blocks.7.0.se.conv_reduce,,,,
blocks.7.0.se.act1,,,,
blocks.7.0.se.conv_expand,,,,
blocks.7.0.ghost2,,,,
blocks.7.0.ghost2.primary_conv,,,,
blocks.7.0.ghost2.primary_conv.0,,,,
blocks.7.0.ghost2.primary_conv.1,,,,
blocks.7.0.ghost2.primary_conv.2,,,,
blocks.7.0.ghost2.cheap_operation,,,,
blocks.7.0.ghost2.cheap_operation.0,,,,
blocks.7.0.ghost2.cheap_operation.1,,,,
blocks.7.0.ghost2.cheap_operation.2,,,,
blocks.7.0.shortcut,,,,
blocks.7.0.shortcut.0,,,,
blocks.7.0.shortcut.1,,,,
blocks.7.0.shortcut.2,,,,
blocks.7.0.shortcut.3,,,,
blocks.8,,,,
blocks.8.0,,,,
